encoder_variant,config,exact,macroF1,QWK,MAE,err>=2,routed%
baseline CORN,LLM alone (10-chain SC-tolerant),0.5131278538812786,0.3999559719318305,0.4062585303349342,0.6409817351598174,0.1284246575342466,
baseline CORN,encoder alone,0.4549086757990868,0.3475468910652566,0.3542879270389987,0.6797945205479452,0.11929223744292237,
baseline CORN,Cascade difficult-gate >=0.8,0.519406392694064,0.4027015206335391,0.41388806690006885,0.6352739726027398,0.13013698630136986,5.9
baseline CORN,"Cascade merged-gate (tau.8, >=.5)",0.5148401826484018,0.3935993368112853,0.4175127702326482,0.6244292237442922,0.1204337899543379,41.5
Attention-MIL,LLM alone (10-chain SC-tolerant),0.5131278538812786,0.3999559719318305,0.4062585303349342,0.6409817351598174,0.1284246575342466,
Attention-MIL,encoder alone,0.4748858447488584,0.3599207663768185,0.3624571550537157,0.670662100456621,0.13013698630136986,
Attention-MIL,Cascade difficult-gate >=0.8,0.5188356164383562,0.40179827011821556,0.4165468403821865,0.6352739726027398,0.13013698630136986,5.9
Attention-MIL,"Cascade merged-gate (tau.8, >=.5)",0.5296803652968036,0.4088607117581595,0.44668063650676093,0.6061643835616438,0.11815068493150685,41.5
Focal CORN,LLM alone (10-chain SC-tolerant),0.5131278538812786,0.3999559719318305,0.4062585303349342,0.6409817351598174,0.1284246575342466,
Focal CORN,encoder alone,0.4606164383561644,0.3484099273682537,0.38270033370006995,0.6752283105022832,0.12271689497716895,
Focal CORN,Cascade difficult-gate >=0.8,0.519406392694064,0.40250011830503546,0.4154078618737582,0.6381278538812786,0.1329908675799087,5.9
Focal CORN,"Cascade merged-gate (tau.8, >=.5)",0.5234018264840182,0.4039200152915043,0.43098596811593526,0.622716894977169,0.12728310502283105,41.5
Balanced CORN,LLM alone (10-chain SC-tolerant),0.5131278538812786,0.3999559719318305,0.4062585303349342,0.6409817351598174,0.1284246575342466,
Balanced CORN,encoder alone,0.4126712328767123,0.3431385651206296,0.34700310234587806,0.742579908675799,0.1421232876712329,
Balanced CORN,Cascade difficult-gate >=0.8,0.5154109589041096,0.4013758208580613,0.4168677722500309,0.6381278538812786,0.1295662100456621,5.9
Balanced CORN,"Cascade merged-gate (tau.8, >=.5)",0.5017123287671232,0.39679153558074953,0.4193447943990488,0.6404109589041096,0.1232876712328767,41.5
Rerank + CORN,LLM alone (10-chain SC-tolerant),0.5131278538812786,0.3999559719318305,0.4062585303349342,0.6409817351598174,0.1284246575342466,
Rerank + CORN,encoder alone,0.4440639269406393,0.35483815004132546,0.3276489834153279,0.6974885844748858,0.11929223744292237,
Rerank + CORN,Cascade difficult-gate >=0.8,0.5171232876712328,0.4023112860075802,0.4106565294468868,0.6375570776255708,0.1284246575342466,5.9
Rerank + CORN,"Cascade merged-gate (tau.8, >=.5)",0.5108447488584474,0.3944801158537434,0.4106906642567675,0.627283105022831,0.11529680365296803,41.5
