comparison,metric,delta,ci_lo,ci_hi,excludes_0
R2_status_quo_vs_R0,macro_f1,0.0114,-0.0189,0.0431,False
R2_status_quo_vs_R0,qwk,0.0071,-0.0419,0.056,False
R2_status_quo_vs_R0,mae,0.0063,-0.0314,0.0439,False
R2_status_quo_vs_R0,far_off_rate,0.0091,-0.0086,0.0285,False
R2_status_quo_vs_R0,f1_class3,0.053,-0.0243,0.136,False
R2_status_quo_vs_R0,severe_recall,0.0479,-0.0079,0.1141,False
R2_status_quo_vs_R0,false_severe_rate,0.0088,-0.0038,0.0219,False
R2_mask_none_vs_R2_status_quo,macro_f1,0.0088,-0.024,0.0388,False
R2_mask_none_vs_R2_status_quo,qwk,-0.0028,-0.0411,0.037,False
R2_mask_none_vs_R2_status_quo,mae,-0.0068,-0.0411,0.0263,False
R2_mask_none_vs_R2_status_quo,far_off_rate,0.0177,0.0006,0.0342,True
R2_mask_none_vs_R2_status_quo,f1_class3,-0.0092,-0.0839,0.0657,False
R2_mask_none_vs_R2_status_quo,severe_recall,-0.012,-0.0704,0.0455,False
R2_mask_none_vs_R2_status_quo,false_severe_rate,-0.0044,-0.0138,0.0043,False
R2_drop_none_vs_R2_status_quo,macro_f1,0.0474,0.0184,0.0764,True
R2_drop_none_vs_R2_status_quo,qwk,0.0548,0.011,0.0966,True
R2_drop_none_vs_R2_status_quo,mae,-0.016,-0.0508,0.0194,False
R2_drop_none_vs_R2_status_quo,far_off_rate,0.0074,-0.012,0.0257,False
R2_drop_none_vs_R2_status_quo,f1_class3,0.1271,0.0566,0.1941,True
R2_drop_none_vs_R2_status_quo,severe_recall,0.1497,0.0859,0.2121,True
R2_drop_none_vs_R2_status_quo,false_severe_rate,0.0215,0.0088,0.035,True
