fold,item_id,item_name,train_rows,none_rows,masked_rows,dropped_rows,eff_train_rows,pct_removed,gold3_rows,gold3_removed,pct_gold3_removed,pct_gold23_removed,gold_dist_before,gold_dist_after,cw_before,cw_after,class_absent_after,warn_gt40pct,warn_gt30pct_gold3,warn_class_disappears
1,1,NoInterest,175,115,115,115,60,0.657,9,7,0.778,0.533,"{""0"": 88, ""1"": 57, ""2"": 21, ""3"": 9}","{""0"": 27, ""1"": 19, ""2"": 12, ""3"": 2}","[0.497, 0.768, 2.083, 4.861]","[0.556, 0.789, 1.25, 7.5]",[],True,True,False
1,2,Depressed,175,65,65,65,110,0.371,14,2,0.143,0.278,"{""0"": 77, ""1"": 62, ""2"": 22, ""3"": 14}","{""0"": 38, ""1"": 46, ""2"": 14, ""3"": 12}","[0.568, 0.706, 1.989, 3.125]","[0.724, 0.598, 1.964, 2.292]",[],False,False,False
1,3,Sleep,175,73,73,73,102,0.417,30,6,0.2,0.259,"{""0"": 75, ""1"": 42, ""2"": 28, ""3"": 30}","{""0"": 35, ""1"": 24, ""2"": 19, ""3"": 24}","[0.583, 1.042, 1.562, 1.458]","[0.729, 1.062, 1.342, 1.062]",[],True,False,False
1,4,Tired,175,78,78,78,97,0.446,23,9,0.391,0.4,"{""0"": 57, ""1"": 68, ""2"": 27, ""3"": 23}","{""0"": 22, ""1"": 45, ""2"": 16, ""3"": 14}","[0.768, 0.643, 1.62, 1.902]","[1.102, 0.539, 1.516, 1.732]",[],True,True,False
1,5,Appetite,175,161,161,161,14,0.92,20,16,0.8,0.875,"{""0"": 78, ""1"": 49, ""2"": 28, ""3"": 20}","{""0"": 7, ""1"": 1, ""2"": 2, ""3"": 4}","[0.561, 0.893, 1.562, 2.188]","[0.5, 3.5, 1.75, 0.875]",[],True,True,False
1,6,Failure,175,82,82,82,93,0.469,19,9,0.474,0.581,"{""0"": 84, ""1"": 48, ""2"": 24, ""3"": 19}","{""0"": 49, ""1"": 26, ""2"": 8, ""3"": 10}","[0.521, 0.911, 1.823, 2.303]","[0.474, 0.894, 2.906, 2.325]",[],True,True,False
1,7,Concentrating,175,127,127,127,48,0.726,19,10,0.526,0.694,"{""0"": 104, ""1"": 35, ""2"": 17, ""3"": 19}","{""0"": 28, ""1"": 9, ""2"": 2, ""3"": 9}","[0.421, 1.25, 2.574, 2.303]","[0.429, 1.333, 6.0, 1.333]",[],True,True,False
1,8,Moving,175,149,149,149,26,0.851,5,5,1.0,0.923,"{""0"": 137, ""1"": 25, ""2"": 8, ""3"": 5}","{""0"": 23, ""1"": 2, ""2"": 1, ""3"": 0}","[0.319, 1.75, 5.469, 8.75]","[0.377, 4.333, 8.667, 1.0]",[3],True,True,True
2,1,NoInterest,176,112,112,112,64,0.636,7,5,0.714,0.6,"{""0"": 86, ""1"": 65, ""2"": 18, ""3"": 7}","{""0"": 31, ""1"": 23, ""2"": 8, ""3"": 2}","[0.512, 0.677, 2.444, 6.286]","[0.516, 0.696, 2.0, 8.0]",[],True,True,False
2,2,Depressed,176,66,66,66,110,0.375,16,2,0.125,0.265,"{""0"": 73, ""1"": 69, ""2"": 18, ""3"": 16}","{""0"": 33, ""1"": 52, ""2"": 11, ""3"": 14}","[0.603, 0.638, 2.444, 2.75]","[0.833, 0.529, 2.5, 1.964]",[],False,False,False
2,3,Sleep,176,69,69,69,107,0.392,27,4,0.148,0.2,"{""0"": 73, ""1"": 48, ""2"": 28, ""3"": 27}","{""0"": 35, ""1"": 28, ""2"": 21, ""3"": 23}","[0.603, 0.917, 1.571, 1.63]","[0.764, 0.955, 1.274, 1.163]",[],False,False,False
2,4,Tired,176,88,88,88,88,0.5,23,9,0.391,0.469,"{""0"": 53, ""1"": 74, ""2"": 26, ""3"": 23}","{""0"": 19, ""1"": 43, ""2"": 12, ""3"": 14}","[0.83, 0.595, 1.692, 1.913]","[1.158, 0.512, 1.833, 1.571]",[],True,True,False
2,5,Appetite,176,163,163,163,13,0.926,20,16,0.8,0.878,"{""0"": 75, ""1"": 52, ""2"": 29, ""3"": 20}","{""0"": 5, ""1"": 2, ""2"": 2, ""3"": 4}","[0.587, 0.846, 1.517, 2.2]","[0.65, 1.625, 1.625, 0.812]",[],True,True,False
2,6,Failure,176,76,76,76,100,0.432,18,4,0.222,0.432,"{""0"": 82, ""1"": 50, ""2"": 26, ""3"": 18}","{""0"": 46, ""1"": 29, ""2"": 11, ""3"": 14}","[0.537, 0.88, 1.692, 2.444]","[0.543, 0.862, 2.273, 1.786]",[],True,False,False
2,7,Concentrating,176,129,129,129,47,0.733,18,10,0.556,0.686,"{""0"": 100, ""1"": 41, ""2"": 17, ""3"": 18}","{""0"": 26, ""1"": 10, ""2"": 3, ""3"": 8}","[0.44, 1.073, 2.588, 2.444]","[0.452, 1.175, 3.917, 1.469]",[],True,True,False
2,8,Moving,176,150,150,150,26,0.852,5,4,0.8,0.824,"{""0"": 133, ""1"": 26, ""2"": 12, ""3"": 5}","{""0"": 22, ""1"": 1, ""2"": 2, ""3"": 1}","[0.331, 1.692, 3.667, 8.8]","[0.295, 6.5, 3.25, 6.5]",[],True,True,False
3,1,NoInterest,175,120,120,120,55,0.686,7,6,0.857,0.63,"{""0"": 83, ""1"": 65, ""2"": 20, ""3"": 7}","{""0"": 24, ""1"": 21, ""2"": 9, ""3"": 1}","[0.527, 0.673, 2.188, 6.25]","[0.573, 0.655, 1.528, 13.75]",[],True,True,False
3,2,Depressed,175,66,66,66,109,0.377,14,2,0.143,0.294,"{""0"": 76, ""1"": 65, ""2"": 20, ""3"": 14}","{""0"": 37, ""1"": 48, ""2"": 12, ""3"": 12}","[0.576, 0.673, 2.188, 3.125]","[0.736, 0.568, 2.271, 2.271]",[],False,False,False
3,3,Sleep,175,75,75,75,100,0.429,27,7,0.259,0.298,"{""0"": 72, ""1"": 46, ""2"": 30, ""3"": 27}","{""0"": 34, ""1"": 26, ""2"": 20, ""3"": 20}","[0.608, 0.951, 1.458, 1.62]","[0.735, 0.962, 1.25, 1.25]",[],True,False,False
3,4,Tired,175,81,81,81,94,0.463,23,8,0.348,0.393,"{""0"": 52, ""1"": 67, ""2"": 33, ""3"": 23}","{""0"": 20, ""1"": 40, ""2"": 19, ""3"": 15}","[0.841, 0.653, 1.326, 1.902]","[1.175, 0.588, 1.237, 1.567]",[],True,True,False
3,5,Appetite,175,163,163,163,12,0.931,20,18,0.9,0.935,"{""0"": 77, ""1"": 52, ""2"": 26, ""3"": 20}","{""0"": 6, ""1"": 3, ""2"": 1, ""3"": 2}","[0.568, 0.841, 1.683, 2.188]","[0.5, 1.0, 3.0, 1.5]",[],True,True,False
3,6,Failure,175,83,83,83,92,0.474,22,9,0.409,0.521,"{""0"": 76, ""1"": 51, ""2"": 26, ""3"": 22}","{""0"": 42, ""1"": 27, ""2"": 10, ""3"": 13}","[0.576, 0.858, 1.683, 1.989]","[0.548, 0.852, 2.3, 1.769]",[],True,True,False
3,7,Concentrating,175,118,118,118,57,0.674,19,8,0.421,0.6,"{""0"": 96, ""1"": 44, ""2"": 16, ""3"": 19}","{""0"": 30, ""1"": 13, ""2"": 3, ""3"": 11}","[0.456, 0.994, 2.734, 2.303]","[0.475, 1.096, 4.75, 1.295]",[],True,True,False
3,8,Moving,175,146,146,146,29,0.834,5,4,0.8,0.8,"{""0"": 135, ""1"": 25, ""2"": 10, ""3"": 5}","{""0"": 24, ""1"": 2, ""2"": 2, ""3"": 1}","[0.324, 1.75, 4.375, 8.75]","[0.302, 3.625, 3.625, 7.25]",[],True,True,False
4,1,NoInterest,175,117,117,117,58,0.669,7,6,0.857,0.667,"{""0"": 86, ""1"": 65, ""2"": 17, ""3"": 7}","{""0"": 29, ""1"": 21, ""2"": 7, ""3"": 1}","[0.509, 0.673, 2.574, 6.25]","[0.5, 0.69, 2.071, 14.5]",[],True,True,False
4,2,Depressed,175,69,69,69,106,0.394,15,2,0.133,0.303,"{""0"": 76, ""1"": 66, ""2"": 18, ""3"": 15}","{""0"": 35, ""1"": 48, ""2"": 10, ""3"": 13}","[0.576, 0.663, 2.431, 2.917]","[0.757, 0.552, 2.65, 2.038]",[],False,False,False
4,3,Sleep,175,76,76,76,99,0.434,28,6,0.214,0.246,"{""0"": 71, ""1"": 47, ""2"": 29, ""3"": 28}","{""0"": 29, ""1"": 27, ""2"": 21, ""3"": 22}","[0.616, 0.931, 1.509, 1.562]","[0.853, 0.917, 1.179, 1.125]",[],True,False,False
4,4,Tired,175,86,86,86,89,0.491,21,9,0.429,0.42,"{""0"": 55, ""1"": 70, ""2"": 29, ""3"": 21}","{""0"": 18, ""1"": 42, ""2"": 17, ""3"": 12}","[0.795, 0.625, 1.509, 2.083]","[1.236, 0.53, 1.309, 1.854]",[],True,True,False
