item,term,dsm5_construct,source,relation,decision,in_primary_query,reason
NoInterest,anhedonia,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),MeSH descriptor 'Anhedonia'; DSM-5 A2,direct_construct,keep,yes,canonical construct for loss of interest/pleasure
NoInterest,loss of interest,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),DSM-5 A2 wording,direct_construct,keep,yes,criterion wording
NoInterest,diminished interest,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),DSM-5 A2 verbatim,direct_construct,keep,yes,criterion wording
NoInterest,diminished pleasure,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),DSM-5 A2 ('or pleasure'),direct_construct,keep,yes,criterion wording
NoInterest,loss of pleasure,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),DSM-5 A2; anhedonia,direct_construct,keep,yes,criterion wording
NoInterest,diminished ability to experience pleasure,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),DSM-5 A2 paraphrase (anhedonia),direct_construct,keep,yes,canonical paraphrase of anhedonia
NoInterest,hedonic capacity impairment,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),anhedonia research terminology (hedonic capacity),direct_construct,keep,yes,documented anhedonia phrasing
NoInterest,loss of interest in usual pleasures,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),DSM-5 A2 paraphrase,direct_construct,keep,yes,criterion paraphrase
NoInterest,avolition,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),APA Dictionary; psychopathology (negative symptom),manifestation,keep,yes,documented lack of motivation to initiate/persist
NoInterest,amotivation,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),clinical terminology (amotivational state),manifestation,keep,yes,documented motivational-deficit term tied to interest
NoInterest,apathy,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),MeSH descriptor 'Apathy'; APA Dictionary,manifestation,keep,yes,recognized diminished-motivation/interest syndrome
NoInterest,social withdrawal,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),psychopathology (behavioural sign of anhedonia),manifestation,keep,yes,documented behavioural manifestation
NoInterest,reduced libido,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),DSM-5 A2 examples include loss of sexual interest,manifestation,keep,yes,sexual-interest loss is part of A2
NoInterest,underarousal,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),LLM brainstorm only,related_nonspecific,remove,no,"arousal is a distinct construct, not anhedonia; no clinical provenance for this usage"
NoInterest,interest deficit,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),LLM brainstorm only,related_nonspecific,remove,no,non-standard paraphrase; not an established term
NoInterest,valued activities diminished,DSM-5 MDD Criterion A2 (markedly diminished interest or pleasure; anhedonia),LLM brainstorm only,related_nonspecific,remove,no,non-standard paraphrase; not an established term
