comparison,metric,delta,ci_lo,ci_hi,excludes_0
L1_keep_vs_L0_R0,macro_f1,-0.0009,-0.0304,0.0276,False
L1_keep_vs_L0_R0,qwk,-0.0133,-0.0596,0.0314,False
L1_keep_vs_L0_R0,mae,0.024,-0.0126,0.0622,False
L1_keep_vs_L0_R0,far_off_rate,0.008,-0.0074,0.0234,False
L1_keep_vs_L0_R0,f1_class3,0.0299,-0.0361,0.0909,False
L1_keep_vs_L0_R0,severe_recall,0.024,-0.0347,0.0813,False
L1_keep_vs_L0_R0,false_severe_rate,-0.0025,-0.0128,0.007,False
L2_filter_vs_L1_keep,macro_f1,-0.0187,-0.052,0.0136,False
L2_filter_vs_L1_keep,qwk,-0.0061,-0.0563,0.0422,False
L2_filter_vs_L1_keep,mae,0.0651,0.0257,0.1062,True
L2_filter_vs_L1_keep,far_off_rate,0.0177,0.0011,0.0348,True
L2_filter_vs_L1_keep,f1_class3,0.021,-0.0652,0.098,False
L2_filter_vs_L1_keep,severe_recall,0.0898,0.0,0.1734,False
L2_filter_vs_L1_keep,false_severe_rate,0.041,0.0283,0.057,True
L3_infofirst_vs_L1_keep,macro_f1,-0.021,-0.0553,0.0137,False
L3_infofirst_vs_L1_keep,qwk,-0.0291,-0.0772,0.0211,False
L3_infofirst_vs_L1_keep,mae,0.0811,0.0417,0.1204,True
L3_infofirst_vs_L1_keep,far_off_rate,0.0223,0.0057,0.0394,True
L3_infofirst_vs_L1_keep,f1_class3,0.0206,-0.0588,0.0955,False
L3_infofirst_vs_L1_keep,severe_recall,0.0958,0.0133,0.1736,True
L3_infofirst_vs_L1_keep,false_severe_rate,0.0448,0.0321,0.0599,True
L4_fallback_vs_L1_keep,macro_f1,-0.0287,-0.0609,0.0053,False
L4_fallback_vs_L1_keep,qwk,-0.0019,-0.048,0.0497,False
L4_fallback_vs_L1_keep,mae,0.0211,-0.0263,0.0656,False
L4_fallback_vs_L1_keep,far_off_rate,-0.0148,-0.0337,0.0029,False
L4_fallback_vs_L1_keep,f1_class3,-0.0179,-0.0795,0.0436,False
L4_fallback_vs_L1_keep,severe_recall,-0.012,-0.069,0.0483,False
L4_fallback_vs_L1_keep,false_severe_rate,0.0032,-0.0094,0.0176,False
L5_longctx_vs_L1_keep,macro_f1,-0.0474,-0.0883,-0.0079,True
L5_longctx_vs_L1_keep,qwk,-0.0293,-0.1059,0.0462,False
L5_longctx_vs_L1_keep,mae,0.0965,0.0337,0.1604,True
L5_longctx_vs_L1_keep,far_off_rate,0.016,-0.0131,0.0462,False
L5_longctx_vs_L1_keep,f1_class3,-0.038,-0.1294,0.0573,False
L5_longctx_vs_L1_keep,severe_recall,-0.0599,-0.1333,0.0281,False
L5_longctx_vs_L1_keep,false_severe_rate,-0.0189,-0.0334,-0.0026,True
