config,prefix,joint,n,scope,item_name
L0_CORE,budget,bm25_inf_sem_amb,31,overall,
L0_CORE,budget,bm25_inf_sem_none,132,overall,
L0_CORE,budget,both_ambiguous,18,overall,
L0_CORE,budget,both_informative,314,overall,
L0_CORE,budget,both_none,976,overall,
L0_CORE,budget,other,92,overall,
L0_CORE,budget,sem_inf_bm25_amb,28,overall,
L0_CORE,budget,sem_inf_bm25_none,161,overall,
L0_CORE,top3,bm25_inf_sem_amb,31,overall,
L0_CORE,top3,bm25_inf_sem_none,127,overall,
L0_CORE,top3,both_ambiguous,20,overall,
L0_CORE,top3,both_informative,338,overall,
L0_CORE,top3,both_none,929,overall,
L0_CORE,top3,other,100,overall,
L0_CORE,top3,sem_inf_bm25_amb,27,overall,
L0_CORE,top3,sem_inf_bm25_none,180,overall,
L0_CORE,top5,bm25_inf_sem_amb,43,overall,
L0_CORE,top5,bm25_inf_sem_none,107,overall,
L0_CORE,top5,both_ambiguous,22,overall,
L0_CORE,top5,both_informative,345,overall,
L0_CORE,top5,both_none,942,overall,
L0_CORE,top5,other,101,overall,
L0_CORE,top5,sem_inf_bm25_amb,35,overall,
L0_CORE,top5,sem_inf_bm25_none,157,overall,
L1_CORE_LAY,budget,bm25_inf_sem_amb,21,overall,
L1_CORE_LAY,budget,bm25_inf_sem_none,141,overall,
L1_CORE_LAY,budget,both_ambiguous,16,overall,
L1_CORE_LAY,budget,both_informative,322,overall,
L1_CORE_LAY,budget,both_none,965,overall,
L1_CORE_LAY,budget,other,108,overall,
L1_CORE_LAY,budget,sem_inf_bm25_amb,28,overall,
L1_CORE_LAY,budget,sem_inf_bm25_none,151,overall,
L1_CORE_LAY,top3,bm25_inf_sem_amb,26,overall,
L1_CORE_LAY,top3,bm25_inf_sem_none,122,overall,
L1_CORE_LAY,top3,both_ambiguous,17,overall,
L1_CORE_LAY,top3,both_informative,343,overall,
L1_CORE_LAY,top3,both_none,929,overall,
L1_CORE_LAY,top3,other,122,overall,
L1_CORE_LAY,top3,sem_inf_bm25_amb,30,overall,
L1_CORE_LAY,top3,sem_inf_bm25_none,163,overall,
L1_CORE_LAY,top5,bm25_inf_sem_amb,27,overall,
L1_CORE_LAY,top5,bm25_inf_sem_none,125,overall,
L1_CORE_LAY,top5,both_ambiguous,19,overall,
L1_CORE_LAY,top5,both_informative,350,overall,
L1_CORE_LAY,top5,both_none,943,overall,
L1_CORE_LAY,top5,other,124,overall,
L1_CORE_LAY,top5,sem_inf_bm25_amb,34,overall,
L1_CORE_LAY,top5,sem_inf_bm25_none,130,overall,
L2_CORE_CLINICAL,budget,bm25_inf_sem_amb,27,overall,
L2_CORE_CLINICAL,budget,bm25_inf_sem_none,140,overall,
L2_CORE_CLINICAL,budget,both_ambiguous,17,overall,
L2_CORE_CLINICAL,budget,both_informative,340,overall,
L2_CORE_CLINICAL,budget,both_none,969,overall,
L2_CORE_CLINICAL,budget,other,104,overall,
L2_CORE_CLINICAL,budget,sem_inf_bm25_amb,19,overall,
L2_CORE_CLINICAL,budget,sem_inf_bm25_none,136,overall,
L2_CORE_CLINICAL,top3,bm25_inf_sem_amb,29,overall,
L2_CORE_CLINICAL,top3,bm25_inf_sem_none,143,overall,
L2_CORE_CLINICAL,top3,both_ambiguous,19,overall,
L2_CORE_CLINICAL,top3,both_informative,350,overall,
L2_CORE_CLINICAL,top3,both_none,940,overall,
L2_CORE_CLINICAL,top3,other,106,overall,
L2_CORE_CLINICAL,top3,sem_inf_bm25_amb,27,overall,
L2_CORE_CLINICAL,top3,sem_inf_bm25_none,138,overall,
L2_CORE_CLINICAL,top5,bm25_inf_sem_amb,29,overall,
L2_CORE_CLINICAL,top5,bm25_inf_sem_none,127,overall,
L2_CORE_CLINICAL,top5,both_ambiguous,22,overall,
L2_CORE_CLINICAL,top5,both_informative,355,overall,
L2_CORE_CLINICAL,top5,both_none,954,overall,
L2_CORE_CLINICAL,top5,other,110,overall,
L2_CORE_CLINICAL,top5,sem_inf_bm25_amb,18,overall,
L2_CORE_CLINICAL,top5,sem_inf_bm25_none,137,overall,
L3_FULL,budget,bm25_inf_sem_amb,22,overall,
L3_FULL,budget,bm25_inf_sem_none,155,overall,
L3_FULL,budget,both_ambiguous,29,overall,
L3_FULL,budget,both_informative,333,overall,
L3_FULL,budget,both_none,966,overall,
L3_FULL,budget,other,97,overall,
L3_FULL,budget,sem_inf_bm25_amb,20,overall,
L3_FULL,budget,sem_inf_bm25_none,130,overall,
L3_FULL,top3,bm25_inf_sem_amb,23,overall,
L3_FULL,top3,bm25_inf_sem_none,132,overall,
L3_FULL,top3,both_ambiguous,21,overall,
L3_FULL,top3,both_informative,355,overall,
L3_FULL,top3,both_none,934,overall,
L3_FULL,top3,other,121,overall,
L3_FULL,top3,sem_inf_bm25_amb,20,overall,
L3_FULL,top3,sem_inf_bm25_none,146,overall,
L3_FULL,top5,bm25_inf_sem_amb,25,overall,
L3_FULL,top5,bm25_inf_sem_none,126,overall,
L3_FULL,top5,both_ambiguous,21,overall,
L3_FULL,top5,both_informative,356,overall,
L3_FULL,top5,both_none,953,overall,
L3_FULL,top5,other,111,overall,
L3_FULL,top5,sem_inf_bm25_amb,30,overall,
L3_FULL,top5,sem_inf_bm25_none,130,overall,
L0_CORE,budget,bm25_inf_sem_none,4,by_item,Appetite
L0_CORE,budget,both_informative,4,by_item,Appetite
L0_CORE,budget,both_none,192,by_item,Appetite
L0_CORE,budget,other,11,by_item,Appetite
L0_CORE,budget,sem_inf_bm25_amb,2,by_item,Appetite
L0_CORE,budget,sem_inf_bm25_none,6,by_item,Appetite
L0_CORE,budget,bm25_inf_sem_amb,5,by_item,Concentrating
L0_CORE,budget,bm25_inf_sem_none,9,by_item,Concentrating
L0_CORE,budget,both_ambiguous,5,by_item,Concentrating
L0_CORE,budget,both_informative,14,by_item,Concentrating
L0_CORE,budget,both_none,154,by_item,Concentrating
L0_CORE,budget,other,16,by_item,Concentrating
L0_CORE,budget,sem_inf_bm25_amb,4,by_item,Concentrating
L0_CORE,budget,sem_inf_bm25_none,12,by_item,Concentrating
L0_CORE,budget,bm25_inf_sem_amb,5,by_item,Depressed
L0_CORE,budget,bm25_inf_sem_none,27,by_item,Depressed
L0_CORE,budget,both_ambiguous,6,by_item,Depressed
L0_CORE,budget,both_informative,68,by_item,Depressed
L0_CORE,budget,both_none,69,by_item,Depressed
L0_CORE,budget,other,20,by_item,Depressed
L0_CORE,budget,sem_inf_bm25_amb,8,by_item,Depressed
L0_CORE,budget,sem_inf_bm25_none,16,by_item,Depressed
L0_CORE,budget,bm25_inf_sem_amb,5,by_item,Failure
L0_CORE,budget,bm25_inf_sem_none,22,by_item,Failure
L0_CORE,budget,both_ambiguous,2,by_item,Failure
L0_CORE,budget,both_informative,56,by_item,Failure
L0_CORE,budget,both_none,87,by_item,Failure
L0_CORE,budget,other,8,by_item,Failure
L0_CORE,budget,sem_inf_bm25_amb,6,by_item,Failure
L0_CORE,budget,sem_inf_bm25_none,33,by_item,Failure
L0_CORE,budget,bm25_inf_sem_none,12,by_item,Moving
L0_CORE,budget,both_informative,5,by_item,Moving
L0_CORE,budget,both_none,179,by_item,Moving
L0_CORE,budget,other,7,by_item,Moving
L0_CORE,budget,sem_inf_bm25_none,16,by_item,Moving
L0_CORE,budget,bm25_inf_sem_amb,2,by_item,NoInterest
L0_CORE,budget,bm25_inf_sem_none,31,by_item,NoInterest
L0_CORE,budget,both_informative,23,by_item,NoInterest
L0_CORE,budget,both_none,124,by_item,NoInterest
L0_CORE,budget,other,8,by_item,NoInterest
L0_CORE,budget,sem_inf_bm25_amb,2,by_item,NoInterest
L0_CORE,budget,sem_inf_bm25_none,29,by_item,NoInterest
L0_CORE,budget,bm25_inf_sem_amb,3,by_item,Sleep
L0_CORE,budget,bm25_inf_sem_none,12,by_item,Sleep
L0_CORE,budget,both_ambiguous,4,by_item,Sleep
L0_CORE,budget,both_informative,81,by_item,Sleep
L0_CORE,budget,both_none,80,by_item,Sleep
L0_CORE,budget,other,5,by_item,Sleep
L0_CORE,budget,sem_inf_bm25_amb,1,by_item,Sleep
L0_CORE,budget,sem_inf_bm25_none,33,by_item,Sleep
L0_CORE,budget,bm25_inf_sem_amb,11,by_item,Tired
L0_CORE,budget,bm25_inf_sem_none,15,by_item,Tired
L0_CORE,budget,both_ambiguous,1,by_item,Tired
L0_CORE,budget,both_informative,63,by_item,Tired
L0_CORE,budget,both_none,91,by_item,Tired
L0_CORE,budget,other,17,by_item,Tired
L0_CORE,budget,sem_inf_bm25_amb,5,by_item,Tired
L0_CORE,budget,sem_inf_bm25_none,16,by_item,Tired
L0_CORE,top3,bm25_inf_sem_amb,2,by_item,Appetite
L0_CORE,top3,bm25_inf_sem_none,2,by_item,Appetite
L0_CORE,top3,both_informative,7,by_item,Appetite
L0_CORE,top3,both_none,189,by_item,Appetite
L0_CORE,top3,other,12,by_item,Appetite
L0_CORE,top3,sem_inf_bm25_amb,2,by_item,Appetite
L0_CORE,top3,sem_inf_bm25_none,5,by_item,Appetite
L0_CORE,top3,bm25_inf_sem_amb,1,by_item,Concentrating
L0_CORE,top3,bm25_inf_sem_none,12,by_item,Concentrating
L0_CORE,top3,both_ambiguous,5,by_item,Concentrating
L0_CORE,top3,both_informative,17,by_item,Concentrating
L0_CORE,top3,both_none,146,by_item,Concentrating
L0_CORE,top3,other,24,by_item,Concentrating
L0_CORE,top3,sem_inf_bm25_amb,3,by_item,Concentrating
L0_CORE,top3,sem_inf_bm25_none,11,by_item,Concentrating
L0_CORE,top3,bm25_inf_sem_amb,4,by_item,Depressed
L0_CORE,top3,bm25_inf_sem_none,31,by_item,Depressed
L0_CORE,top3,both_ambiguous,7,by_item,Depressed
L0_CORE,top3,both_informative,73,by_item,Depressed
L0_CORE,top3,both_none,56,by_item,Depressed
L0_CORE,top3,other,20,by_item,Depressed
L0_CORE,top3,sem_inf_bm25_amb,7,by_item,Depressed
L0_CORE,top3,sem_inf_bm25_none,21,by_item,Depressed
L0_CORE,top3,bm25_inf_sem_amb,6,by_item,Failure
L0_CORE,top3,bm25_inf_sem_none,23,by_item,Failure
L0_CORE,top3,both_ambiguous,1,by_item,Failure
L0_CORE,top3,both_informative,59,by_item,Failure
L0_CORE,top3,both_none,77,by_item,Failure
L0_CORE,top3,other,9,by_item,Failure
L0_CORE,top3,sem_inf_bm25_amb,5,by_item,Failure
